ISCO08_C,ISCO1C,ISCO2C,PVLIT1,PVLIT2,PVLIT3,PVLIT4,PVLIT5,PVLIT6,PVLIT7,PVLIT8,PVLIT9,PVLIT10,PVNUM1,PVNUM2,PVNUM3,PVNUM4,PVNUM5,PVNUM6,PVNUM7,PVNUM8,PVNUM9,PVNUM10,NUMWORKC2,READWORKC2_T1,WRITWORKC2,ICTWORKC2,SPFWT0,AGE_R,GENDER_R
5141,5,51,184.90762,178.85638,170.91797,171.12156,181.4268,181.69136,169.21015,171.61497,178.91039,158.70568,156.86447,180.14038,199.95264,161.75862,181.35554,192.62409,164.74318,176.90798,181.70727,173.29189,2.17879,1.9374,0.20752,.v,1858.085601,41.0,2.0
9629,9,96,125.23451,106.3503,105.28199,116.14734,116.05744,118.68015,117.47945,119.63259,135.57495,110.29794,127.39051,149.02276,148.44395,149.50344,126.55621,129.05087,109.76833,130.44061,157.68969,159.53839,1.97204,2.28854,1.59708,1.16733,751.480706,30.0,2.0
5211,5,52,278.25896,268.67521,277.04995,247.63322,231.49541,266.61377,262.56819,265.50254,247.39906,238.5018,256.52002,236.85022,216.16085,201.59721,191.18647,249.07218,241.50726,217.0872,224.01833,225.14736,.v,.v,.v,.v,4695.581389,26.0,1.0
5120,5,51,231.33673,231.84369,239.61166,242.628,243.73695,223.90133,229.51702,232.02045,234.86,228.16411,251.72777,271.94405,259.36352,274.93873,248.09993,248.28098,240.40146,272.13922,256.89319,236.2426,1.83993,2.17835,2.64106,0.96597,4352.637489,33.0,1.0
9996,996,996,205.28306,202.22066,218.62342,169.69808,236.63634,216.94071,225.33768,237.03277,221.66824,196.44372,193.90966,191.61313,204.83117,173.53613,205.1936,210.28951,196.65818,218.6177,189.43496,171.34185,2.63803,1.56481,1.81786,2.8321,4965.323763,30.0,1.0
8322,8,83,202.26025,206.36689,228.74604,218.35433,195.12126,206.19369,241.37978,177.14017,227.20755,195.98415,181.69943,253.41375,234.16022,238.64041,209.53262,264.11698,253.80265,228.57871,218.84219,220.14531,2.53125,0.70939,0.20752,1.2247,2871.308004,34.0,1.0
9112,9,91,173.12306,164.75463,156.43062,161.97839,123.35887,162.49751,154.2046,161.5499,163.81699,146.62,146.53044,146.31906,136.4352,135.1728,115.13958,107.8741,135.8076,124.23143,138.69194,104.83369,1.83742,1.16323,1.29646,.v,3448.723374,54.0,2.0
2423,2,24,284.53317,314.945,305.92227,321.86924,312.5956,299.56247,327.79301,305.61072,335.82369,315.05823,290.73037,326.13862,302.00841,327.34738,307.998,305.36439,328.44671,324.38757,326.12169,276.57307,2.34388,2.72885,3.63381,2.8321,2303.578792,27.0,2.0
5412,5,54,208.82286,207.91243,216.22524,208.82141,168.37827,176.46253,196.90929,203.7163,218.65261,230.23205,199.98156,195.10005,201.02065,225.68829,169.17684,198.52583,174.60468,194.70416,178.27014,184.88088,1.41132,2.48519,3.63381,2.8321,2304.294588,29.0,1.0
9996,995,995,212.73493,258.39359,243.37583,212.25483,213.64207,236.17744,205.91082,232.35913,226.68891,218.17742,173.93186,208.65197,219.03603,213.02233,176.98318,184.42535,202.25408,226.79403,216.27657,200.18629,.v,.v,.v,.v,4038.103315,60.0,2.0
